id,name,year,latitude,longitude,city,cuisine,price,url
151,Sushi Tokami,2019,22.296112,114.16916,Hong Kong,Sushi,$$$$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/sushi-tokami
152,Tosca,2019,22.30357,114.16007,Hong Kong,Italian,$$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/tosca352519
153,Épure,2019,22.29583,114.169304,,French,$$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/epure
154,Yee Tung Heen,2019,22.282295,114.184135,Hong Kong,Cantonese,$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/yee-tung-heen
155,Yè Shanghai (Tsim Sha Tsui),2019,22.295143,114.168236,Hong Kong,Shanghainese,$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/ye-shanghai-tsim-sha-tsui
156,Ho Hung Kee,2019,22.280058,114.18364,Hong Kong,Noodles and congee,$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/ho-hung-kee
157,Jardin de Jade (Wan Chai),2019,22.28025,114.17716,Hong Kong,Shanghainese,$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/jardin-de-jade-wan-chai
158,Zhejiang Heen,2019,22.2787,114.17763,Hong Kong,Shanghainese,$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/zhejiang-heen
159,Takumi by Daisuke Mori,2019,22.276512,114.17718,Hong Kong,Innovative,$$$$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/takumi-by-daisuke-mori
160,Kam's Roast Goose,2019,22.277693,114.175385,Hong Kong,Cantonese Roast Meats,$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/kam-s-roast-goose
161,Pang's Kitchen,2019,22.26921,114.18452,Hong Kong,Cantonese,$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/pang-s-kitchen
162,Xin Rong Ji,2019,22.278013,114.17273,Hong Kong,Taizhou,$$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/xin-rong-ji
163,Qi (Wan Chai),2019,22.276443,114.17126,Hong Kong,Sichuan,$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/qi-wan-chai
164,Man Wah,2019,22.282213,114.15951,Hong Kong,Cantonese,$$$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/man-wah
165,Summer Palace,2019,22.277136,114.1643,Hong Kong,Cantonese,$$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/summer-palace
166,Octavium,2019,22.282587,114.1572,Hong Kong,Italian,$$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/octavium
167,Arbor,2019,22.283146,114.15542,,Innovative,$$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/arbor
168,VEA,2019,22.284931,114.15313,Hong Kong,Innovative,$$$$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/vea
169,Mandarin Grill + Bar,2019,22.281048,114.1574,Hong Kong,European contemporary,$$$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/mandarin-grill-bar
170,Yat Lok,2019,22.28226,114.155655,Hong Kong,Cantonese Roast Meats,$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/yat-lok
171,Guo Fu Lou,2019,22.278313,114.16034,Hong Kong,Cantonese,$$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/guo-fu-lou567828
172,Celebrity Cuisine,2019,22.284334,114.15312,Hong Kong,Cantonese,$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/celebrity-cuisine
173,Sushi Wadatsumi,2019,22.281038,114.15646,Hong Kong,Sushi,$$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/sushi-wadatsumi
174,Arcane,2019,22.280624,114.15682,Hong Kong,European contemporary,$$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/arcane
175,Duddell's,2019,22.28008,114.157364,Hong Kong,Cantonese,$$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/duddell-s
176,Beefbar,2019,22.27982,114.15752,Hong Kong,Steakhouse,$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/beefbar
177,New Punjab Club,2019,22.28005,114.15525,Hong Kong,Indian,$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/new-punjab-club
178,Kaiseki Den by Saotome,2019,22.285713,114.147865,Hong Kong,Japanese,$$$$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/kaiseki-den-by-saotome
179,Belon,2019,22.281662,114.152405,Hong Kong,French,$$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/belon
180,Tate,2019,22.280996,114.15276,Hong Kong,Innovative,$$$$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/tate
181,The Ocean,2019,22.235146,114.198524,Hong Kong,French,$$$$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/the-ocean
